retrieved_at;source_url;spieler_id;spieler;team;team_kuerzel;position;trikotnummer;marktwert;marktwert_trend_24h;marktwert_trend_7t;ki_trend;ki_trend_status;punkte;durchschnitt_punkte;median_punkte;punkte_pro_mio;einsaetze;startelf_einsaetze;durchschnitt_minuten;marktwert_fair_value;hot;gamble;neuzugang;status_code;status_text;punkte_vorsaison;durchschnitt_punkte_vorsaison;einsaetze_vorsaison;startelf_vorsaison;vorsaison;vorsaison_liga;naechstes_spiel;naechster_gegner;naechster_spieltag;score_date;league;team_rank;team.1;team_slug;spieler_id.1;maik_rolle;maik_score;maik_score_change;source_url.1;retrieved_at.1;verein;verein_id;ligainsider_id;url;startelf
2026-09-25T20:52:44+00:00;https://www.base-xi.de/api/players;8274;Said El Mala;1. FC Köln;KOE;Mittelfeld;10;23661758;11242;105347;6399;up;227;76;67.0;3.1;3;2;60;10118456;False;0;False;0;;2418.0;71.0;34.0;20.0;2025/26;Bundesliga;2026-10-11T14:30:00;KOE vs BMG;5;2026-09-25;de.1;9.0;1. FC Köln;1-fc-koln;649235.0;Attacking Winger;4913.9;264.2;https://maikmitai.com/api/score-history?team=1-fc-koln;2026-09-25T20:46:29+00:00;1-fc-koeln;15.0;38546.0;https://www.ligainsider.de/said-el-mala_38546/;False
2026-09-25T20:52:44+00:00;https://www.base-xi.de/api/players;1580;Marvin Schwäbe;1. FC Köln;KOE;Torwart;1;12775546;-445772;-2990285;-439654;down;448;112;96.0;8.1;4;4;95;21518680;False;0;False;0;;3249.0;96.0;34.0;34.0;2025/26;Bundesliga;2026-10-11T14:30:00;KOE vs BMG;5;2026-09-25;de.1;9.0;1. FC Köln;1-fc-koln;183095.0;Sweeper;4312.3;63.1;https://maikmitai.com/api/score-history?team=1-fc-koln;2026-09-25T20:46:29+00:00;1-fc-koeln;15.0;2626.0;https://www.ligainsider.de/marvin-schwaebe_2626/;False
2026-09-25T20:52:44+00:00;https://www.base-xi.de/api/players;12321;Jahmai Simpson-Pusey;1. FC Köln;KOE;Abwehr;22;11051048;85328;894553;58641;up;302;76;80.0;6.2;4;4;95;11405546;False;0;False;0;;669.0;61.0;11.0;10.0;2025/26;Bundesliga;2026-10-11T14:30:00;KOE vs BMG;5;2026-09-25;de.1;9.0;1. FC Köln;1-fc-koln;554194.0;Defensive Centre-Back;4202.8;99.9;https://maikmitai.com/api/score-history?team=1-fc-koln;2026-09-25T20:46:29+00:00;1-fc-koeln;15.0;38128.0;https://www.ligainsider.de/jahmai-simpson-pusey_38128/;True
2026-09-25T20:52:44+00:00;https://www.base-xi.de/api/players;2201;Linton Maina;1. FC Köln;KOE;Sturm;37;10328509;155665;1895276;125665;up;352;88;58.0;6.2;4;3;63;7640621;False;0;False;0;;960.0;40.0;24.0;9.0;2025/26;Bundesliga;2026-10-11T14:30:00;KOE vs BMG;5;2026-09-25;de.1;9.0;1. FC Köln;1-fc-koln;219846.0;Inverted Winger;3673.9;-25.0;https://maikmitai.com/api/score-history?team=1-fc-koln;2026-09-25T20:46:29+00:00;1-fc-koeln;15.0;18217.0;https://www.ligainsider.de/linton-maina_18217/;True
2026-09-25T20:52:44+00:00;https://www.base-xi.de/api/players;2718;Ellyes Skhiri;1. FC Köln;KOE;Mittelfeld;6;10235442;165797;1523856;135797;up;326;82;58.0;6.0;4;2;67;7738893;False;0;False;0;;1030.0;41.0;25.0;16.0;2025/26;Bundesliga;2026-10-11T14:30:00;KOE vs BMG;5;2026-09-25;de.1;9.0;1. FC Köln;1-fc-koln;195430.0;Anchor;3718.1;-109.1;https://maikmitai.com/api/score-history?team=1-fc-koln;2026-09-25T20:46:29+00:00;1-fc-koeln;15.0;20776.0;https://www.ligainsider.de/ellyes-skhiri_20776/;True
2026-09-25T20:52:44+00:00;https://www.base-xi.de/api/players;17282;Mikey Moore;1. FC Köln;KOE;Mittelfeld;47;9164200;-185241;-2463143;-163845;down;140;47;;;3;2;73;0;False;0;False;0;;;;;;2025/26;;2026-10-11T14:30:00;KOE vs BMG;5;2026-09-25;de.1;9.0;1. FC Köln;1-fc-koln;499721.0;Raumdeuter;3598.3;-227.4;https://maikmitai.com/api/score-history?team=1-fc-koln;2026-09-25T20:46:29+00:00;1-fc-koeln;15.0;38448.0;https://www.ligainsider.de/mikey-moore_38448/;True
2026-09-25T20:52:44+00:00;https://www.base-xi.de/api/players;2855;Ragnar Ache;1. FC Köln;KOE;Sturm;9;8602450;-260420;-1741200;-261988;down;251;63;55.0;7.6;4;2;50;7384805;False;0;False;0;;1937.0;67.0;29.0;18.0;2025/26;Bundesliga;2026-10-11T14:30:00;KOE vs BMG;5;2026-09-25;de.1;9.0;1. FC Köln;1-fc-koln;233325.0;Deep-Lying Forward;5119.7;6.5;https://maikmitai.com/api/score-history?team=1-fc-koln;2026-09-25T20:46:29+00:00;1-fc-koeln;15.0;23720.0;https://www.ligainsider.de/ragnar-ache_23720/;False
2026-09-25T20:52:44+00:00;https://www.base-xi.de/api/players;2358;Tom Krauß;1. FC Köln;KOE;Mittelfeld;5;8182867;145560;793269;126963;up;206;52;52.0;6.6;4;4;88;6428302;False;0;False;0;;1461.0;56.0;26.0;19.0;2025/26;Bundesliga;2026-10-11T14:30:00;KOE vs BMG;5;2026-09-25;de.1;9.0;1. FC Köln;1-fc-koln;449918.0;Ball-Winning Pivot-Player;4447.6;65.9;https://maikmitai.com/api/score-history?team=1-fc-koln;2026-09-25T20:46:29+00:00;1-fc-koeln;15.0;20244.0;https://www.ligainsider.de/tom-krauss_20244/;True
2026-09-25T20:52:44+00:00;https://www.base-xi.de/api/players;16945;Thijs Dallinga;1. FC Köln;KOE;Sturm;27;8051277;-385873;-2273741;-376606;down;258;86;;;3;2;53;0;False;0;False;0;;;;;;2025/26;;2026-10-11T14:30:00;KOE vs BMG;5;2026-09-25;de.1;9.0;1. FC Köln;1-fc-koln;438590.0;Deep-Lying Forward;3592.4;-228.9;https://maikmitai.com/api/score-history?team=1-fc-koln;2026-09-25T20:46:29+00:00;1-fc-koeln;15.0;36506.0;https://www.ligainsider.de/thijs-dallinga_36506/;False
2026-09-25T20:52:44+00:00;https://www.base-xi.de/api/players;14140;Gideon Mensah;1. FC Köln;KOE;Abwehr;14;7895782;-390532;-2983327;-381370;down;230;58;;;4;4;88;0;False;0;False;0;;;;;;2025/26;;2026-10-11T14:30:00;KOE vs BMG;5;2026-09-25;de.1;9.0;1. FC Köln;1-fc-koln;229670.0;Wing-Back;4570.2;178.9;https://maikmitai.com/api/score-history?team=1-fc-koln;2026-09-25T20:46:29+00:00;1-fc-koeln;15.0;16759.0;https://www.ligainsider.de/gideon-mensah_16759/;True
