spieler;team;position;marktwert;trend_24h;trend;ki_trend;punkte;durchschnitt_punkte;median;status;maik_team;maik_kaderscore;maik_rang;maik_spieler;maik_position;maik_score;maik_fmv_mio;maik_fmv_original;maik_match;punkte_num;marktwert_num;maik_score_num;team_team;durchschnitt_pts;maik_kaderscore_team
Harry Kane;FC Bayern München;Sturm;64844724.0;+8.777 €;↑;+10.564 €;294.0;174.0;3.0;"🔥;HOT;DEAL";Bayern;5391.0;5.0;Harry Kane;ANG;5608.0;61.72;61,72 Mio.;exact_name;294.0;648447240.0;56080.0;FC Bayern München;153.95;35871.0
Michael Olise;FC Bayern München;Mittelfeld;64677706.0;-261.028 €;↓;-291.028 €;663.0;317.0;3.0;"🔒;DEAL";Bayern;5391.0;2.0;Michael Olise;ANG;6699.0;283.92;283,92 Mio.;exact_name;663.0;646777060.0;66990.0;FC Bayern München;153.95;35871.0
Joshua Kimmich;FC Bayern München;Mittelfeld;59533999.0;+12.938 €;↑;+14.051 €;216.0;216.0;3.0;"🔒;DEAL";Bayern;5391.0;1.0;Joshua Kimmich;MF;6855.0;64.07;64,07 Mio.;exact_name;216.0;595339990.0;68550.0;FC Bayern München;153.95;35871.0
Luis Díaz;FC Bayern München;Sturm;48551995.0;-430.199 €;↘;-406.887 €;116.0;134.0;3.0;"🔒;DEAL";Bayern;5391.0;8.0;Luis Díaz;ANG;5320.0;102.33;102,33 Mio.;exact_name;116.0;485519950.0;53200.0;FC Bayern München;153.95;35871.0
Aleix García;Bayer 04 Leverkusen;Mittelfeld;37720032.0;-33.327 €;↘;-3.327 €;137.0;154.0;4.0;"🔒;🔥;HOT;DEAL";Leverkusen;4908.0;1.0;Aleix García;MF;6169.0;37.01;37,01 Mio.;exact_name;137.0;377200320.0;61690.0;Bayer 04 Leverkusen;62.458333333333336;23177.5
Aleksandar Pavlović;FC Bayern München;Mittelfeld;34365868.0;+90.542 €;↑;+95.724 €;163.0;210.0;4.0;"🔒;●";Bayern;5391.0;12.0;Aleksandar Pavlović;MF;5161.0;79.3;79,30 Mio.;exact_name;163.0;343658680.0;51610.0;FC Bayern München;153.95;35871.0
Waldemar Anton;Borussia Dortmund;Abwehr;34031304.0;+30.704 €;↑;+32.964 €;123.0;177.0;4.0;"🔒;●";Dortmund;4754.0;4.0;Waldemar Anton;ABW;5432.0;28.96;28,96 Mio.;exact_name;123.0;340313040.0;54320.0;Borussia Dortmund;56.08695652173913;26116.52173913044
Dayot Upamecano;FC Bayern München;Abwehr;33691880.0;+3.637 €;↑;+4.880 €;97.0;178.0;4.0;"🔒;🔥;HOT";Bayern;5391.0;11.0;Dayot Upamecano;ABW;5197.0;49.09;49,09 Mio.;exact_name;97.0;336918800.0;51970.0;FC Bayern München;153.95;35871.0
Serhou Guirassy;Borussia Dortmund;Sturm;32213721.0;+86.487 €;↑;+88.456 €;75.0;161.0;4.0;"🔒;●";Dortmund;4754.0;5.0;Serhou Guirassy;ANG;5018.0;34.22;34,22 Mio.;exact_name;75.0;322137210.0;50180.0;Borussia Dortmund;56.08695652173913;26116.52173913044
Nadiem Amiri;1. FSV Mainz 05;Mittelfeld;32069093.0;-552.879 €;↓;-582.879 €;107.0;106.0;4.0;"🔒;DEAL";;;;;;6472.0;;;;107.0;320690930.0;0.0;1. FSV Mainz 05;66.34782608695652;1760.4347826086955
David Raum;RB Leipzig;Abwehr;30968993.0;-339.904 €;↓;-369.904 €;71.0;127.0;4.0;"🔒;DEAL";Leipzig;4687.0;2.0;David Raum;ABW;5490.0;21.81;21,81 Mio.;exact_name;71.0;309689930.0;54900.0;RB Leipzig;19.043478260869566;23180.0
Deniz Undav;VfB Stuttgart;Sturm;30403483.0;-494.990 €;↓;-591.456 €;-15.0;5.0;3.0;"🔒;DEAL";Stuttgart;4750.0;6.0;Deniz Undav;ANG;5032.0;17.75;17,75 Mio.;exact_name;-15.0;304034830.0;50320.0;VfB Stuttgart;19.375;24748.33333333333
Ibrahim Maza;Bayer 04 Leverkusen;Mittelfeld;29971691.0;+56.183 €;↑;+83.850 €;194.0;173.0;4.0;"🔒;🔥;HOT";Leverkusen;4908.0;10.0;Ibrahim Maza;MF;4762.0;75.14;75,14 Mio.;exact_name;194.0;299716910.0;47620.0;Bayer 04 Leverkusen;62.458333333333336;23177.5
Jonathan Tah;FC Bayern München;Abwehr;29532890.0;+69.818 €;↑;+71.977 €;182.0;150.0;2.0;"🔒;DEAL";Bayern;5391.0;10.0;Jonathan Tah;ABW;5203.0;37.22;37,22 Mio.;exact_name;182.0;295328900.0;52030.0;FC Bayern München;153.95;35871.0
Patrik Schick;Bayer 04 Leverkusen;Sturm;29040721.0;+7.735 €;↑;+37.735 €;157.0;166.0;3.0;"🔒;🔥;HOT";Leverkusen;4908.0;11.0;Patrik Schick;ANG;4760.0;30.41;30,41 Mio.;exact_name;157.0;290407210.0;47600.0;Bayer 04 Leverkusen;62.458333333333336;23177.5
Willi Orban;RB Leipzig;Abwehr;27764732.0;+69.390 €;↑;+70.270 €;84.0;168.0;4.0;"🔒;DEAL";Leipzig;4687.0;1.0;Willi Orbán;ABW;6074.0;11.86;11,86 Mio.;exact_name;84.0;277647320.0;60740.0;RB Leipzig;19.043478260869566;23180.0
Antonio Nusa;RB Leipzig;Mittelfeld;27709231.0;+57.627 €;↗;+47.433 €;44.0;169.0;4.0;"🔒;●";Leipzig;4687.0;5.0;Antonio Nusa;ANG;4868.0;75.58;75,58 Mio.;exact_name;44.0;277092310.0;48680.0;RB Leipzig;19.043478260869566;23180.0
Ismael Saibari;FC Bayern München;Sturm;27620010.0;+20.506 €;↑;+21.250 €;182.0;145.0;2.0;"🔒;●";;;;;;;;;;182.0;276200100.0;0.0;FC Bayern München;153.95;35871.0
Maximilian Mittelstädt;VfB Stuttgart;Abwehr;27472106.0;+70.283 €;↑;+73.206 €;155.0;168.0;4.0;"🔒;DEAL";Stuttgart;4750.0;1.0;Maximilian Mittelstädt;ABW;6852.0;14.88;14,88 Mio.;exact_name;155.0;274721060.0;68520.0;VfB Stuttgart;19.375;24748.33333333333
Matthias Ginter;SC Freiburg;Abwehr;27333505.0;+49.800 €;↗;+46.250 €;78.0;187.0;4.0;"🔒;●";Freiburg;4305.0;1.0;Matthias Ginter;ABW;5293.0;12.72;12,72 Mio.;exact_name;78.0;273335050.0;52930.0;SC Freiburg;48.40909090909091;20032.727272727272
Christopher Nkunku;RB Leipzig;Sturm;26663729.0;+57.857 €;↗;+46.546 €;24.0;106.0;2.0;"🔒;●";;;;;;;;;;24.0;266637290.0;0.0;RB Leipzig;19.043478260869566;23180.0
Nico Schlotterbeck;Borussia Dortmund;Abwehr;26338065.0;+147.370 €;↑;+149.456 €;149.0;143.0;2.0;"🔒;DEAL";Dortmund;4754.0;2.0;Nico Schlotterbeck;ABW;6552.0;46.46;46,46 Mio.;exact_name;149.0;263380650.0;65520.0;Borussia Dortmund;56.08695652173913;26116.52173913044
Angelo Stiller;VfB Stuttgart;Mittelfeld;26155534.0;+40.461 €;↑;+44.562 €;81.0;59.0;4.0;"🔒;DEAL";Stuttgart;4750.0;2.0;Angelo Stiller;MF;6143.0;34.35;34,35 Mio.;exact_name;81.0;261555340.0;61430.0;VfB Stuttgart;19.375;24748.33333333333
Jamal Musiala;FC Bayern München;Mittelfeld;26015096.0;+70.058 €;↗;+40.058 €;333.0;149.0;1.0;"🔒;●";Bayern;5391.0;4.0;Jamal Musiala;MF;5670.0;100.22;100,22 Mio.;exact_name;333.0;260150960.0;56700.0;FC Bayern München;153.95;35871.0
Felix Nmecha;Borussia Dortmund;Mittelfeld;25961468.0;+97.970 €;↑;+102.360 €;167.0;154.0;3.0;"🔒;●";Dortmund;4754.0;9.0;Felix Nmecha;MF;4320.0;45.9;45,90 Mio.;exact_name;167.0;259614680.0;43200.0;Borussia Dortmund;56.08695652173913;26116.52173913044
Can Uzun;Eintracht Frankfurt;Mittelfeld;25770316.0;+44.290 €;↑;+44.828 €;73.0;119.0;4.0;"🔒;●";Frankfurt;4254.0;3.0;Can Uzun;MF;5001.0;47.99;47,99 Mio.;exact_name;73.0;257703160.0;50010.0;Eintracht Frankfurt;42.19047619047619;18616.666666666668
Edmond Tapsoba;Bayer 04 Leverkusen;Abwehr;25439623.0;+82.431 €;↑;+89.107 €;119.0;102.0;4.0;"🔒;DEAL";Leverkusen;4908.0;6.0;Edmond Tapsoba;ABW;5110.0;37.24;37,24 Mio.;exact_name;119.0;254396230.0;51100.0;Bayer 04 Leverkusen;62.458333333333336;23177.5
Jonathan Burkardt;Eintracht Frankfurt;Sturm;25137225.0;+111.357 €;↗;+81.357 €;148.0;139.0;4.0;"🔒;●";Frankfurt;4254.0;9.0;Jonathan Burkardt;ANG;4332.0;29.57;29,57 Mio.;exact_name;148.0;251372250.0;43320.0;Eintracht Frankfurt;42.19047619047619;18616.666666666668
Robin Koch;Eintracht Frankfurt;Abwehr;25095290.0;+45.938 €;↗;+30.202 €;149.0;143.0;4.0;"🔒;●";Frankfurt;4254.0;4.0;Robin Koch;ABW;4983.0;18.57;18,57 Mio.;exact_name;149.0;250952900.0;49830.0;Eintracht Frankfurt;42.19047619047619;18616.666666666668
Konrad Laimer;FC Bayern München;Abwehr;24733894.0;-712.503 €;↘;-750.000 €;0.0;118.0;2.0;"🔒;DEAL";Bayern;5391.0;15.0;Konrad Laimer;MF;4917.0;36.65;36,65 Mio.;exact_name;0.0;247338940.0;49170.0;FC Bayern München;153.95;35871.0
Igor Matanović;SC Freiburg;Sturm;24539464.0;+208.746 €;↑;+216.603 €;46.0;201.0;4.0;"🔒;●";Freiburg;4305.0;6.0;Igor Matanović;ANG;4471.0;22.12;22,12 Mio.;exact_name;46.0;245394640.0;44710.0;SC Freiburg;48.40909090909091;20032.727272727272
Ozan Kabak;TSG Hoffenheim;Abwehr;24172285.0;+48.567 €;↗;+28.959 €;85.0;129.0;4.0;"🔒;●";Hoffenheim;4403.0;2.0;Ozan Kabak;ABW;5258.0;15.01;15,01 Mio.;exact_name;85.0;241722850.0;52580.0;TSG Hoffenheim;47.47619047619048;22311.904761904763
Miguel Gutiérrez;Bayer 04 Leverkusen;Abwehr;24057555.0;+149.882 €;↑;+176.844 €;309.0;200.0;4.0;"🔒;●";;;;;;4419.0;;;;309.0;240575550.0;0.0;Bayer 04 Leverkusen;62.458333333333336;23177.5
Konstantinos Karetsas;Borussia Dortmund;Mittelfeld;24005342.0;+60.849 €;↑;+66.550 €;59.0;103.0;2.0;"🔒;●";;;;;;;;;;59.0;240053420.0;0.0;Borussia Dortmund;56.08695652173913;26116.52173913044
Said El Mala;1. FC Köln;Mittelfeld;23599113.0;+28.781 €;↑;+36.403 €;68.0;76.0;2.0;"🔒;🔥;HOT";;;;;;4650.0;;;;68.0;235991130.0;0.0;1. FC Köln;33.68181818181818;1895.4545454545453
Vladimír Coufal;TSG Hoffenheim;Abwehr;22444760.0;-320.890 €;↓;-350.890 €;103.0;112.0;4.0;"🔒;DEAL";Hoffenheim;4403.0;5.0;Vladimír Coufal;ABW;4799.0;4.39;4,39 Mio.;exact_name;103.0;224447600.0;47990.0;TSG Hoffenheim;47.47619047619048;22311.904761904763
Joane Gadou;Borussia Dortmund;Abwehr;21715837.0;-185.848 €;↓;-191.868 €;80.0;97.0;4.0;"🔒;●";;;;;;;;;;80.0;217158370.0;0.0;Borussia Dortmund;56.08695652173913;26116.52173913044
Ridle Baku;RB Leipzig;Abwehr;21512161.0;-349.955 €;↓;-379.955 €;13.0;137.0;3.0;"🔒;●";Leipzig;4687.0;6.0;Ridle Baku;ABW;4864.0;21.62;21,62 Mio.;exact_name;13.0;215121610.0;48640.0;RB Leipzig;19.043478260869566;23180.0
Moussa Diaby;Bayer 04 Leverkusen;Sturm;21285229.0;+91.161 €;↑;+121.161 €;79.0;84.0;2.0;"🔒;🔥;HOT";;;;;;;;;;79.0;212852290.0;0.0;Bayer 04 Leverkusen;62.458333333333336;23177.5
Nathaniel Brown;FC Bayern München;Abwehr;21036655.0;-446.942 €;↘;-435.282 €;32.0;61.0;3.0;"🔒;●";;;;;;;;;;32.0;210366550.0;0.0;FC Bayern München;153.95;35871.0
Daniel Svensson;Borussia Dortmund;Abwehr;20976053.0;+66.875 €;↗;+62.876 €;76.0;126.0;4.0;"🔒;●";Dortmund;4754.0;14.0;Daniel Svensson;ABW;4147.0;33.2;33,20 Mio.;exact_name;76.0;209760530.0;41470.0;Borussia Dortmund;56.08695652173913;26116.52173913044
Julian Ryerson;Borussia Dortmund;Abwehr;20183876.0;-503.373 €;↘;-579.979 €;67.0;82.0;4.0;"🔒;DEAL";Dortmund;4754.0;8.0;Julian Ryerson;ABW;4574.0;33.68;33,68 Mio.;exact_name;67.0;201838760.0;45740.0;Borussia Dortmund;56.08695652173913;26116.52173913044
Brajan Gruda;RB Leipzig;Mittelfeld;19890754.0;-415.758 €;↓;-520.122 €;-2.0;83.0;3.0;"🔒;●";Leipzig;4687.0;7.0;Brajan Gruda;ANG;4841.0;37.47;37,47 Mio.;exact_name;-2.0;198907540.0;48410.0;RB Leipzig;19.043478260869566;23180.0
Jobe Bellingham;Borussia Dortmund;Mittelfeld;19744024.0;-215.456 €;↓;-245.456 €;97.0;125.0;3.0;"🔒;●";Dortmund;4754.0;10.0;Jobe Bellingham;MF;4237.0;56.71;56,71 Mio.;exact_name;97.0;197440240.0;42370.0;Borussia Dortmund;56.08695652173913;26116.52173913044
Maximilian Beier;Borussia Dortmund;Sturm;19718830.0;+36.094 €;↑;+66.094 €;151.0;118.0;3.0;"🔒;🔥;HOT";Dortmund;4754.0;12.0;Maximilian Beier;ANG;4198.0;49.28;49,28 Mio.;exact_name;151.0;197188300.0;41980.0;Borussia Dortmund;56.08695652173913;26116.52173913044
Maximilian Eggestein;SC Freiburg;Mittelfeld;19673763.0;+154.181 €;↗;+147.036 €;60.0;160.0;4.0;"🔒;●";Freiburg;4305.0;10.0;Maximilian Eggestein;MF;4100.0;19.12;19,12 Mio.;exact_name;60.0;196737630.0;41000.0;SC Freiburg;48.40909090909091;20032.727272727272
Kaishu Sano;1. FSV Mainz 05;Mittelfeld;19643911.0;+151.981 €;↑;+168.167 €;169.0;145.0;4.0;"🔒;●";;;;;;4296.0;;;;169.0;196439110.0;0.0;1. FSV Mainz 05;66.34782608695652;1760.4347826086955
Jeff Chabot;VfB Stuttgart;Abwehr;19597792.0;-194.769 €;↘;-170.361 €;86.0;89.0;4.0;"🔒;DEAL";Stuttgart;4750.0;3.0;Jeff Chabot;ABW;5668.0;15.93;15,93 Mio.;exact_name;86.0;195977920.0;56680.0;VfB Stuttgart;19.375;24748.33333333333
Lennart Karl;FC Bayern München;Mittelfeld;19517448.0;-477.301 €;↘;-456.864 €;0.0;93.0;2.0;"🔒;●";;;;;;;;;;0.0;195174480.0;0.0;FC Bayern München;153.95;35871.0
Yuito Suzuki;SC Freiburg;Mittelfeld;18759108.0;+270.989 €;↑;+279.766 €;179.0;186.0;4.0;"🔒;●";;;;;;;;;;179.0;187591080.0;0.0;SC Freiburg;48.40909090909091;20032.727272727272
Fabian Rieder;FC Augsburg;Mittelfeld;18473722.0;+173.867 €;↑;+184.160 €;103.0;162.0;4.0;"🔒;●";Augsburg;4251.0;12.0;Fabian Rieder;MF;3957.0;13.77;13,77 Mio.;exact_name;103.0;184737220.0;39570.0;FC Augsburg;25.714285714285715;18443.33333333333
Wouter Burger;TSG Hoffenheim;Mittelfeld;18167712.0;+157.511 €;↑;+175.924 €;131.0;86.0;4.0;"🔒;🔥;HOT;DEAL";;;;;;4559.0;;;;131.0;181677120.0;0.0;TSG Hoffenheim;47.47619047619048;22311.904761904763
Afonso Moreira;Bayer 04 Leverkusen;Sturm;17928166.0;-255.051 €;↘;-234.380 €;84.0;74.0;4.0;"🔒;●";;;;;;4811.0;;;;84.0;179281660.0;0.0;Bayer 04 Leverkusen;62.458333333333336;23177.5
Bilal El Khannouss;VfB Stuttgart;Mittelfeld;17601586.0;-313.128 €;↓;-329.798 €;35.0;56.0;2.0;"🔒;DEAL";Stuttgart;4750.0;8.0;Bilal El Khannouss;MF;4876.0;39.5;39,50 Mio.;exact_name;35.0;176015860.0;48760.0;VfB Stuttgart;19.375;24748.33333333333
Phillip Tietz;1. FSV Mainz 05;Sturm;17556698.0;+180.366 €;↑;+184.080 €;126.0;165.0;4.0;"🔒;●";;;;;;4051.0;;;;126.0;175566980.0;0.0;1. FSV Mainz 05;66.34782608695652;1760.4347826086955
Chris Führich;VfB Stuttgart;Mittelfeld;17434561.0;-369.362 €;↓;-386.894 €;26.0;60.0;3.0;"🔒;DEAL";Stuttgart;4750.0;5.0;Chris Führich;ANG;5036.0;24.53;24,53 Mio.;exact_name;26.0;174345610.0;50360.0;VfB Stuttgart;19.375;24748.33333333333
Alphonso Davies;FC Bayern München;Abwehr;17405248.0;+172.683 €;↗;+142.683 €;320.0;191.0;3.0;"🔒;●";Bayern;5391.0;6.0;Alphonso Davies;ABW;5538.0;50.97;50,97 Mio.;exact_name;320.0;174052480.0;55380.0;FC Bayern München;153.95;35871.0
Ritsu Dōan;Eintracht Frankfurt;Mittelfeld;17352219.0;+132.810 €;↑;+141.378 €;95.0;90.0;3.0;"🔒;●";Frankfurt;4254.0;5.0;Ritsu Doan;MF;4901.0;35.86;35,86 Mio.;exact_name;95.0;173522190.0;49010.0;Eintracht Frankfurt;42.19047619047619;18616.666666666668
Tom Bischof;FC Bayern München;Mittelfeld;17189404.0;+126.317 €;↑;+131.416 €;201.0;99.0;1.0;"🔒;DEAL";Bayern;5391.0;13.0;Tom Bischof;MF;5109.0;84.47;84,47 Mio.;exact_name;201.0;171894040.0;51090.0;FC Bayern München;153.95;35871.0
Ethan Nwaneri;Borussia Dortmund;Mittelfeld;17178598.0;-444.597 €;↓;-470.818 €;63.0;91.0;2.0;"🔒;●";;;;;;;;;;63.0;171785980.0;0.0;Borussia Dortmund;56.08695652173913;26116.52173913044
Leon Avdullahu;TSG Hoffenheim;Mittelfeld;17144044.0;+62.986 €;↗;+55.060 €;59.0;88.0;4.0;"🔒;●";Hoffenheim;4403.0;15.0;Leon Avdullahu;MF;3924.0;23.76;23,76 Mio.;exact_name;59.0;171440440.0;39240.0;TSG Hoffenheim;47.47619047619048;22311.904761904763
Jarell Quansah;Bayer 04 Leverkusen;Abwehr;16900690.0;-179.119 €;↘;-149.119 €;114.0;100.0;3.0;"🔒;DEAL";Leverkusen;4908.0;5.0;Jarell Quansah;ABW;5172.0;37.53;37,53 Mio.;exact_name;114.0;169006900.0;51720.0;Bayer 04 Leverkusen;62.458333333333336;23177.5
Lukeba Castello Jr.;RB Leipzig;Abwehr;16761959.0;-531.161 €;↓;-652.835 €;0.0;140.0;2.0;"🔒;●;DEAL";;;;;;4569.0;;;;0.0;167619590.0;0.0;RB Leipzig;19.043478260869566;23180.0
Josip Stanišić;FC Bayern München;Abwehr;16440873.0;+137.676 €;↑;+152.808 €;158.0;106.0;2.0;"🔒;●;DEAL";Bayern;5391.0;7.0;Josip Stanišić;ABW;5461.0;41.38;41,38 Mio.;exact_name;158.0;164408730.0;54610.0;FC Bayern München;153.95;35871.0
Younes Ebnoutalib;Eintracht Frankfurt;Sturm;16390963.0;+204.521 €;↑;+227.248 €;150.0;151.0;3.0;"🔒;●";;;;;;3271.0;;;;150.0;163909630.0;0.0;Eintracht Frankfurt;42.19047619047619;18616.666666666668
Chrislain Matsima;FC Augsburg;Abwehr;16246587.0;+76.945 €;↗;+76.370 €;77.0;125.0;4.0;"🔒;●";Augsburg;4251.0;2.0;Chrislain Matsima;ABW;4612.0;12.95;12,95 Mio.;exact_name;77.0;162465870.0;46120.0;FC Augsburg;25.714285714285715;18443.33333333333
Grischa Prömel;VfB Stuttgart;Mittelfeld;16017651.0;-380.395 €;↓;-410.395 €;35.0;86.0;4.0;"🔒;●";;;;;;;;;;35.0;160176510.0;0.0;VfB Stuttgart;19.375;24748.33333333333
Philipp Lienhart;SC Freiburg;Abwehr;15916212.0;+227.150 €;↑;+236.272 €;104.0;127.0;4.0;"🔒;●";Freiburg;4305.0;7.0;Philipp Lienhart;ABW;4465.0;10.0;10,00 Mio.;exact_name;104.0;159162120.0;44650.0;SC Freiburg;48.40909090909091;20032.727272727272
Joey Veerman;Borussia Dortmund;Mittelfeld;15881847.0;+156.919 €;↑;+180.434 €;107.0;80.0;2.0;"🔒;●";Dortmund;4754.0;1.0;Joey Veerman;MF;6992.0;16.9;16,90 Mio.;exact_name;107.0;158818470.0;69920.0;Borussia Dortmund;56.08695652173913;26116.52173913044
Fisnik Asllani;TSG Hoffenheim;Sturm;15853270.0;+41.441 €;↗;+31.582 €;19.0;34.0;0.0;"🔒;●";Hoffenheim;4403.0;13.0;Fisnik Asllani;ANG;4036.0;29.08;29,08 Mio.;exact_name;19.0;158532700.0;40360.0;TSG Hoffenheim;47.47619047619048;22311.904761904763
Ermedin Demirović;VfB Stuttgart;Sturm;15781892.0;-470.312 €;↘;-469.185 €;-16.0;38.0;2.0;"🔒;●";;;;;;;;;;-16.0;157818920.0;0.0;VfB Stuttgart;19.375;24748.33333333333
Sheraldo Becker;1. FSV Mainz 05;Sturm;15596471.0;+260.050 €;↑;+272.767 €;248.0;163.0;4.0;"🔒;DEAL;●";;;;;;;;;;248.0;155964710.0;0.0;1. FSV Mainz 05;66.34782608695652;1760.4347826086955
Finn Jeltsch;VfB Stuttgart;Abwehr;15534097.0;+7.859 €;↗;+2.500 €;24.0;74.0;4.0;"🔒;●";;;;;;;;;;24.0;155340970.0;0.0;VfB Stuttgart;19.375;24748.33333333333
Jan-Niklas Beste;SC Freiburg;Mittelfeld;15383818.0;+141.016 €;↑;+142.560 €;93.0;108.0;4.0;"🔒;●";;;;;;4908.0;;;;93.0;153838180.0;0.0;SC Freiburg;48.40909090909091;20032.727272727272
Michael Gregoritsch;FC Augsburg;Sturm;15247826.0;+111.685 €;↗;+96.396 €;16.0;137.0;4.0;"🔒;●";Augsburg;4251.0;4.0;Michael Gregoritsch;ANG;4558.0;3.72;3,72 Mio.;exact_name;16.0;152478260.0;45580.0;FC Augsburg;25.714285714285715;18443.33333333333
Niclas Füllkrug;SV Werder Bremen;Sturm;14470938.0;+231.882 €;↑;+257.813 €;187.0;108.0;4.0;"🔒;DEAL;●";;;;;;;;;;187.0;144709380.0;0.0;SV Werder Bremen;64.88461538461539;13550.384615384615
