spieler;team;position;marktwert;trend_24h;trend;ki_trend;punkte;durchschnitt_punkte;median;status;maik_rang;maik_rolle;maik_score;maik_score_change;maik_team
Abdoul Koné;RB Leipzig;Abwehr;612303;-37764 ;↓;-41664 ;0,0;0,0;0,0;"🔒;●";25;BALL-PLAYING CENTRE-BACK;3526;0,0;RB Leipzig
Adam Daghim;TSG Hoffenheim;Sturm;13701752;+282544 ;↑;+286519 ;120,0;156,0;4,0;"🔒;●";19;ATTACKING WINGER;3576;0,0;TSG Hoffenheim
Adam Hložek;TSG Hoffenheim;Sturm;10336949;+259109 ;↗;+229109 ;77,0;103,0;4,0;"🔒;●";4;DEEP-LYING FORWARD;5059;0,0;TSG Hoffenheim
Adil Aouchiche;FC Schalke 04;Mittelfeld;12562712;+224821 ;↑;+237651 ;119,0;107,0;4,0;"🔒;●";4;ATTACKING WINGER;4513;0,0;FC Schalke 04
Adrian Gantenbein;FC Schalke 04;Abwehr;1495079;+411778 ;↑;+441778 ;0,0;0,0;0,0;"🔒;●";12;WING-BACK;3718;0,0;FC Schalke 04
Afonso Moreira;Bayer 04 Leverkusen;Sturm;17928166;-255051 ;↘;-234380 ;84,0;74,0;4,0;"🔒;●";10;ATTACKING WINGER;4748;0,0;Bayer 04 Leverkusen
Albert Frank Millgramm;SC Paderborn 07;Sturm;906452;-139903 ;↓;-142356 ;0,0;0,0;0,0;"🔒;●";;;;;
Albert Grønbæk;Hamburger SV;Mittelfeld;7820838;+107572 ;↑;+137572 ;170,0;56,0;4,0;"🔒;🔥;HOT";7;PRESSING MIDFIELDER;4163;0,0;Hamburger SV
Albert Millgramm;SC Paderborn 07;;;;;;;;;;23;ATTACKING WINGER;3122;0,0;SC Paderborn 07
Albert Sambi Lokonga;Hamburger SV;Mittelfeld;7311014;+244570 ;↑;+274570 ;64,0;35,0;3,0;"🔒;🔥;HOT";4;BALL-WINNING PIVOT-PLAYER;4528;0,0;Hamburger SV
Albian Hajdari;TSG Hoffenheim;Abwehr;12940032;+54201 ;↗;+51018 ;70,0;58,0;3,0;"🔒;DEAL";8;DEFENSIVE CENTRE-BACK;4351;0,0;TSG Hoffenheim
Aleix García;Bayer 04 Leverkusen;Mittelfeld;37720032;-33327 ;↘;-3327 ;137,0;154,0;4,0;"🔒;🔥;HOT;DEAL";1;DEEP-LYING PLAYMAKER;6045;0,0;Bayer 04 Leverkusen
Aleksandar Pavlović;FC Bayern München;Mittelfeld;34365868;+90542 ;↑;+95724 ;163,0;210,0;4,0;"🔒;●";13;OFFENSIVE PIVOT-PLAYER;5192;0,0;FC Bayern München
