Verein,Position,Spieler,Slug,Spieler_ID,Profil_URL
Bayern München,1,Manuel Neuer,manuel-neuer,114,https://www.ligainsider.de/manuel-neuer_114/
Bayern München,2,Josip Stanisic,josip-stanisic,20102,https://www.ligainsider.de/josip-stanisic_20102/
Bayern München,3,Konrad Laimer,konrad-laimer,6324,https://www.ligainsider.de/konrad-laimer_6324/
Bayern München,4,Dayot Upamecano,dayot-upamecano,11541,https://www.ligainsider.de/dayot-upamecano_11541/
Bayern München,5,Jonathan Tah,jonathan-tah,2385,https://www.ligainsider.de/jonathan-tah_2385/
Bayern München,6,Minjae Kim,minjae-kim,27022,https://www.ligainsider.de/minjae-kim_27022/
Bayern München,7,Alphonso Davies,alphonso-davies,20098,https://www.ligainsider.de/alphonso-davies_20098/
Bayern München,8,Nathaniel Brown,nathaniel-brown,35857,https://www.ligainsider.de/nathaniel-brown_35857/
Bayern München,9,Joshua Kimmich,joshua-kimmich,5768,https://www.ligainsider.de/joshua-kimmich_5768/
Bayern München,10,Ismael Saibari,ismael-saibari,25609,https://www.ligainsider.de/ismael-saibari_25609/
Bayern München,11,Serge Gnabry,serge-gnabry,4815,https://www.ligainsider.de/serge-gnabry_4815/
Borussia Dortmund,1,Gregor Kobel,gregor-kobel,9357,https://www.ligainsider.de/gregor-kobel_9357/
Borussia Dortmund,2,Joane Gadou,joane-gadou,37021,https://www.ligainsider.de/joane-gadou_37021/
Borussia Dortmund,3,Waldemar Anton,waldemar-anton,5837,https://www.ligainsider.de/waldemar-anton_5837/
Borussia Dortmund,4,Nico Schlotterbeck,nico-schlotterbeck,20052,https://www.ligainsider.de/nico-schlotterbeck_20052/
Borussia Dortmund,5,Julian Ryerson,julian-ryerson,18478,https://www.ligainsider.de/julian-ryerson_18478/
Borussia Dortmund,6,Joey Veerman,joey-veerman,37180,https://www.ligainsider.de/joey-veerman_37180/
Borussia Dortmund,7,Jobe Bellingham,jobe-bellingham,38153,https://www.ligainsider.de/jobe-bellingham_38153/
Borussia Dortmund,8,Felix Nmecha,felix-nmecha,25090,https://www.ligainsider.de/felix-nmecha_25090/
Borussia Dortmund,9,Daniel Svensson,daniel-svensson,38304,https://www.ligainsider.de/daniel-svensson_38304/
Borussia Dortmund,10,Konstantinos Karetsas,konstantinos-karetsas,38406,https://www.ligainsider.de/konstantinos-karetsas_38406/
Borussia Dortmund,11,Serhou Guirassy,serhou-guirassy,10454,https://www.ligainsider.de/serhou-guirassy_10454/
RB Leipzig,1,Maarten Vandevoordt,maarten-vandevoordt,21774,https://www.ligainsider.de/maarten-vandevoordt_21774/
RB Leipzig,2,Ridle Baku,ridle-baku,15835,https://www.ligainsider.de/ridle-baku_15835/
RB Leipzig,3,Benjamin Henrichs,benjamin-henrichs,5680,https://www.ligainsider.de/benjamin-henrichs_5680/
RB Leipzig,4,Willi Orban,willi-orban,1667,https://www.ligainsider.de/willi-orban_1667/
RB Leipzig,5,Castello Lukeba,castello-lukeba,27079,https://www.ligainsider.de/castello-lukeba_27079/
RB Leipzig,6,David Raum,david-raum,12557,https://www.ligainsider.de/david-raum_12557/
RB Leipzig,7,Neil El Aynaoui,neil-el-aynaoui,36433,https://www.ligainsider.de/neil-el-aynaoui_36433/
RB Leipzig,8,Christopher Nkunku,christopher-nkunku,12446,https://www.ligainsider.de/christopher-nkunku_12446/
RB Leipzig,9,Ezechiel Banzuzi,ezechiel-banzuzi,38383,https://www.ligainsider.de/ezechiel-banzuzi_38383/
RB Leipzig,10,Nicolas Seiwald,nicolas-seiwald,24619,https://www.ligainsider.de/nicolas-seiwald_24619/
RB Leipzig,11,Brajan Gruda,brajan-gruda,35733,https://www.ligainsider.de/brajan-gruda_35733/
Bayer Leverkusen,1,Mark Flekken,mark-flekken,4530,https://www.ligainsider.de/mark-flekken_4530/
Bayer Leverkusen,2,Jarell Quansah,jarell-quansah,36489,https://www.ligainsider.de/jarell-quansah_36489/
Bayer Leverkusen,3,Edmond Tapsoba,edmond-tapsoba,19022,https://www.ligainsider.de/edmond-tapsoba_19022/
Bayer Leverkusen,4,Facundo Medina,facundo-medina,36418,https://www.ligainsider.de/facundo-medina_36418/
Bayer Leverkusen,5,Miguel Gutierrez,miguel-gutierrez,24219,https://www.ligainsider.de/miguel-gutierrez_24219/
Bayer Leverkusen,6,Equi Fernandez,equi-fernandez,38674,https://www.ligainsider.de/equi-fernandez_38674/
Bayer Leverkusen,7,Ibrahim Maza,ibrahim-maza,35905,https://www.ligainsider.de/ibrahim-maza_35905/
Bayer Leverkusen,8,Aleix Garcia,aleix-garcia,7138,https://www.ligainsider.de/aleix-garcia_7138/
Bayer Leverkusen,9,Moussa Diaby,moussa-diaby,20616,https://www.ligainsider.de/moussa-diaby_20616/
Bayer Leverkusen,10,Patrik Schick,patrik-schick,7794,https://www.ligainsider.de/patrik-schick_7794/
Bayer Leverkusen,11,Afonso Moreira,afonso-moreira,36841,https://www.ligainsider.de/afonso-moreira_36841/
VfB Stuttgart,1,Dennis Seimen,dennis-seimen,35226,https://www.ligainsider.de/dennis-seimen_35226/
VfB Stuttgart,2,Josha Vagnoman,josha-vagnoman,18427,https://www.ligainsider.de/josha-vagnoman_18427/
